pgc,objtype,objname,alt_names,ra_deg,dec_deg,ra_readable,dec_readable,major_arcmin,minor_arcmin,axis_ratio_a_over_b,bt_mag,vt_mag,modbest,e_modbest,distance_mly
771919,G,NGC1201,"2MASXJ03040796-2604105,2MIG0371,6dFJ0304080-260411,ESO480-028,ESOLV4800280,LGG086:[G93]005,MCG-04-08-023,NGC1201,PGC011559,PGC771919",46.033,-26.070,03h 04m 08.02s,"-26° 04' 10.89""",3.41,1.96,1.74,11.70,10.81,31.54,0.04,66.13
877745,G,PGC877745,"2MASSJ04060075-1746225,PGC877745",61.503,-17.773,04h 06m 00.81s,"-17° 46' 22.50""",2.19,0.49,4.47,14.95,,,,
1858492,n,IC4955,"IC4955,PGC1858492",301.218,29.190,20h 04m 52.35s,"+29° 11' 24.00""",2.09,1.55,1.35,12.98,,,,
2136915,!,PGC2136915,PGC2136915,214.581,38.803,14h 18m 19.44s,"+38° 48' 11.88""",2.24,1.38,1.62,13.96,,,,
2524220,!,PGC2524220,PGC2524220,273.499,56.064,18h 13m 59.76s,"+56° 03' 49.49""",2.45,0.58,4.27,14.47,,,,
2791343,p,ESO165-006,"ESO165-006,PGC2791343,RKK0654",133.401,-54.084,08h 53m 36.24s,"-54° 05' 00.70""",2.37,2.14,1.11,13.70,,,,
2801118,!,PGC2801118,"ESOLV1220070,PGC2801118",102.451,-61.947,06h 49m 48.22s,"-61° 56' 47.77""",2.42,0.75,3.24,15.53,,,,
2801154,G,PGC2801154,"ESOLV4900220,IRAS06377-2711,PGC2801154",99.932,-27.244,06h 39m 43.74s,"-27° 14' 37.32""",6.21,4.78,1.30,11.26,,36.61,0.08,684.27
2802615,c,NGC0339,"NGC0339,PGC2802615",14.425,-74.474,00h 57m 42.03s,"-74° 28' 25.48""",2.20,2.20,1.00,,,,,
2802641,oc,NGC2214,"BMG260,KMHK1688,LW426e,NGC2214,PGC2802641,[SL63]860e",93.240,-68.259,06h 12m 57.67s,"-68° 15' 32.02""",3.60,3.60,1.00,,10.90,,,
2802653,c,NGC5466,"NGC5466,PGC2802653",211.364,28.534,14h 05m 27.33s,"+28° 32' 04.01""",8.99,8.99,1.00,,9.20,,,
2802679,c,NGC6522,"NGC6522,PGC2802679",270.892,-30.034,18h 03m 34.12s,"-30° 02' 02.42""",9.40,9.40,1.00,,9.90,,,
2802684,c,NGC6553,"NGC6553,PGC2802684",272.315,-25.908,18h 09m 15.63s,"-25° 54' 28.30""",9.20,9.20,1.00,,8.30,,,
2817502,p,NGC0650,"3C050,MESSIER076,NGC0650,NGC0651,PGC2817502",25.582,51.575,01h 42m 19.69s,"+51° 34' 31.80""",3.12,3.12,1.00,12.20,10.10,,,
2817554,?,NGC1952,"3C144,4C+21.19,CRAB_NEBULA,IRAS05315+2158,MESSIER001,NGC1952,PGC2817554,PGC2819678",83.633,22.015,05h 34m 31.92s,"+22° 00' 52.30""",5.65,3.85,1.47,,8.40,,,
2817561,n,IC0443,"3C157,4C+22.15,IC0443,PGC2817561,PGC2819728",94.150,22.517,06h 16m 36.01s,"+22° 31' 00.01""",50.00,39.99,1.25,12.00,,,,
2882948,p,NGC1514,"BD+300623,HD281679,HIP019395,NGC1514,SAO057020,TYC2358-00056-1",62.321,30.776,04h 09m 16.95s,"+30° 46' 33.62""",2.20,2.20,1.00,10.05,10.19,,,
3084736,n,NGC6729,"NGC6729,PGC3084736",285.480,-36.958,19h 01m 55.31s,"-36° 57' 28.01""",25.00,20.00,1.25,,,,,
3097690,G,PGC3097690,"CEPHEUS1,PGC3097690",312.793,56.890,20h 51m 10.36s,"+56° 53' 24.70""",3.00,1.50,2.00,15.40,15.10,28.89,0.20,19.57
3097691,G,PGC3097691,"CETUS,CETUS_DWARF_SPHEROIDAL,KKSG01,PGC3097691,[KKS2000]01",6.545,-11.047,00h 26m 10.86s,"-11° 02' 50.21""",5.00,4.40,1.14,14.40,13.80,24.45,0.04,2.54
3097702,G,PGC3097702,"HIPASSJ1106-14,KKSG23,LOG254,PGC3097702,[KKS2000]23",166.550,-14.406,11h 06m 11.95s,"-14° 24' 19.94""",3.50,1.40,2.50,15.80,,30.78,1.13,46.78
3097827,G,PGC3097827,"F8D1,PGC3097827",146.196,67.439,09h 44m 47.10s,"+67° 26' 19.00""",2.20,2.00,1.10,14.60,13.85,27.86,0.03,12.17
3103982,G,PGC3103982,"2MASSJ03382740-0721066,PGC3103982,SDSSJ033827.39-072106.7",54.614,-7.352,03h 38m 27.39s,"-07° 21' 06.60""",2.41,2.25,1.07,13.32,,39.04,0.03,2092.31
3143104,p,NGC0246,"BD-120134,HIP003678,NGC0246",11.764,-11.872,00h 47m 03.27s,"-11° 52' 19.24""",4.08,4.08,1.00,8.00,10.90,,,
3145958,p,NGC1360,"HIP016566,NGC1360,TYC6450-01071-1",53.311,-25.872,03h 33m 14.63s,"-25° 52' 17.70""",6.43,6.43,1.00,9.60,9.40,,,
3167089,M2,UGC03730,"ARP141,CGCG330-033,MCG+12-07-035,UGC03730,VV123,[RC2]A0708+73",108.585,73.477,07h 14m 20.40s,"+73° 28' 36.83""",2.35,0.91,2.58,13.21,12.53,,,
3348987,G,SDSSJ125807.84+013455.9,"SDSSJ125807.83+013455.8,SDSSJ125807.84+013455.9",194.533,1.582,12h 58m 07.85s,"+01° 34' 55.85""",2.07,0.99,2.09,14.46,,39.37,0.02,2442.45
3517584,rn,NGC1435,NGC1435,56.542,23.765,03h 46m 10.04s,"+23° 45' 54.00""",29.99,29.99,1.00,,,,,
3517585,n,NGC1491,NGC1491,60.806,51.316,04h 03m 13.50s,"+51° 18' 58.00""",25.00,25.00,1.00,,,,,
3517586,n,NGC1499,NGC1499,60.809,36.367,04h 03m 14.20s,"+36° 22' 01.49""",159.96,39.99,4.00,5.00,,,,
3517587,rn,NGC1579,NGC1579,67.559,35.280,04h 30m 14.19s,"+35° 16' 47.00""",11.99,8.00,1.50,,,,,
3517595,n,NGC1763,"ESO085-020,IC2115,LH010,LHA120-N011B,NGC1763,[SL63]125",74.196,-66.412,04h 56m 46.99s,"-66° 24' 44.42""",5.00,3.00,1.67,,,,,
3517597,rn,NGC1788,NGC1788,76.721,-3.341,05h 06m 53.15s,"-03° 20' 27.50""",5.00,3.00,1.67,,,,,
3411582,PG,SDSSJ120543.59+503318.8,"SDSSJ120543.58+503319.1,SDSSJ120543.59+503318.8,SDSSJ120543.59+503319.0,SDSSJ120543.59+503319.1,SDSSJ120543.59+503319.3",181.432,50.555,12h 05m 43.59s,"+50° 33' 18.99""",2.67,1.06,2.51,14.91,,30.50,1.29,41.14
3517602,n,NGC1909,NGC1909,76.225,-7.250,05h 04m 54.01s,"-07° 15' 00.00""",179.89,59.98,3.00,,,,,
3517614,n,NGC1966,"ESO056-125,LHA120-N144A,NGC1966",81.687,-68.813,05h 26m 44.99s,"-68° 48' 47.31""",13.00,13.00,1.00,8.50,,,,
3517616,n,NGC1975,NGC1975,83.826,-4.684,05h 35m 18.14s,"-04° 41' 01.99""",10.00,5.00,2.00,7.00,,,,
3517617,n,NGC1980,NGC1980,83.854,-5.915,05h 35m 25.01s,"-05° 54' 54.00""",14.00,14.00,1.00,,,,,
3517620,n,NGC2024,NGC2024,85.427,-1.845,05h 41m 42.50s,"-01° 50' 43.01""",29.99,29.99,1.00,,,,,
3517623,n,NGC2035,"ESO056-161,LHA120-N059Ase,NGC2035",83.885,-67.585,05h 35m 32.32s,"-67° 35' 07.80""",3.00,3.00,1.00,,,,,
3517624,n,NGC2040,"ESO056-164,LH088,LHA120-N059B,NGC2040",84.031,-67.567,05h 36m 07.39s,"-67° 34' 02.64""",3.00,3.00,1.00,,,,,
3517626,n,NGC2052,"DEML260,ESO056-176,LHA120-N155,NGC2052",84.298,-69.774,05h 37m 11.41s,"-69° 46' 25.45""",17.99,11.99,1.50,,,,,
3517631,n,NGC2070,"30Doradus,ESO057-006,LH100,LHA120-N157A,NGC2070,[SL63]633",84.676,-69.101,05h 38m 42.25s,"-69° 06' 02.32""",29.99,20.00,1.50,5.00,,,,
3517632,rn,NGC2071,NGC2071,86.780,0.294,05h 47m 07.24s,"+00° 17' 39.01""",7.00,5.00,1.40,8.00,,,,
3517634,n,NGC2077,"BRHT18A,ESO057-009,LHA120-N160D,NGC2077",84.900,-69.657,05h 39m 36.04s,"-69° 39' 24.92""",15.00,15.00,1.00,,,,,
3517641,rn,NGC2149,"2MASSJ06033075-0943502,NGC2149",90.878,-9.731,06h 03m 30.79s,"-09° 43' 50.13""",3.00,2.00,1.50,,,,,
3517642,n,NGC2163,"2MASSJ06074953+1839264,NGC2163",91.956,18.657,06h 07m 49.50s,"+18° 39' 26.23""",3.00,2.00,1.50,,,,,
3517628,?,NGC2067,NGC2067,86.633,0.131,05h 46m 31.96s,"+00° 07' 53.01""",8.00,3.00,2.67,,,,,
3517646,n,NGC2237,NGC2237,97.728,5.048,06h 30m 54.61s,"+05° 02' 54.50""",79.98,50.00,1.60,,,,,
3517647,n,NGC2238,NGC2238,97.668,5.013,06h 30m 40.29s,"+05° 00' 47.01""",79.98,59.98,1.33,6.00,,,,
3517650,rn,NGC2261,NGC2261,99.790,8.744,06h 39m 09.50s,"+08° 44' 39.49""",3.00,1.00,3.00,,,,,
3517652,n,NGC2316,NGC2316,104.920,-7.777,06h 59m 40.81s,"-07° 46' 39.00""",4.00,3.00,1.33,,,,,
3517654,n,NGC2359,NGC2359,109.625,-13.225,07h 18m 29.99s,"-13° 13' 30.00""",8.99,6.00,1.50,,,,,
3517656,n,NGC2626,NGC2626,128.879,-40.672,08h 35m 30.99s,"-40° 40' 20.00""",5.00,5.00,1.00,,,,,
3517657,n,NGC2736,NGC2736,135.071,-45.948,09h 00m 16.95s,"-45° 56' 53.01""",20.00,2.00,10.00,,,,,
3517658,n,NGC3199,NGC3199,154.351,-57.922,10h 17m 24.20s,"-57° 55' 19.01""",20.00,15.00,1.33,,,,,
3517662,n,NGC3576,NGC3576,167.886,-61.362,11h 11m 32.76s,"-61° 21' 44.00""",3.00,3.00,1.00,,,,,
3517663,n,NGC3579,NGC3579,167.998,-61.243,11h 11m 59.60s,"-61° 14' 35.01""",20.00,15.00,1.33,,,,,
3517669,n,NGC6165,NGC6165,248.510,-48.152,16h 34m 02.40s,"-48° 09' 06.50""",2.50,0.50,5.00,,,,,
3517670,n,NGC6188,NGC6188,250.023,-48.662,16h 40m 05.41s,"-48° 39' 43.01""",20.00,11.99,1.67,,,,,
3517671,n,NGC6334,NGC6334,260.200,-36.050,17h 20m 48.01s,"-36° 02' 60.00""",34.99,20.00,1.75,,,,,
3517674,n,NGC6523,NGC6523,270.925,-24.380,18h 03m 42.01s,"-24° 22' 48.00""",44.98,29.99,1.50,5.00,,,,
3517675,n,NGC6526,NGC6526,271.025,-24.442,18h 04m 06.04s,"-24° 26' 30.51""",39.99,39.99,1.00,,,,,
3517677,n,NGC6559,NGC6559,272.490,-24.110,18h 09m 57.60s,"-24° 06' 34.99""",8.00,5.00,1.60,,,,,
3517680,n,NGC6813,NGC6813,295.096,27.309,19h 40m 23.14s,"+27° 18' 33.49""",3.00,3.00,1.00,,,,,
3517684,n,NGC6960,NGC6960,311.425,30.717,20h 45m 42.01s,"+30° 43' 00.01""",69.98,6.00,11.67,7.00,,,,
3517688,n,NGC6995,NGC6995,314.292,31.233,20h 57m 10.01s,"+31° 13' 59.99""",11.99,11.99,1.00,7.00,,,,
3517689,n,NGC7000,NGC7000,315.137,44.358,21h 00m 32.99s,"+44° 21' 30.01""",119.95,100.00,1.20,4.00,,,,
3517691,n,NGC7538,NGC7538,348.410,61.512,23h 13m 38.30s,"+61° 30' 43.51""",8.99,6.00,1.50,,,,,
3517692,n,NGC7635,NGC7635,350.189,61.212,23h 20m 45.24s,"+61° 12' 43.51""",15.00,8.00,1.87,11.00,,,,
3517693,n,NGC7822,NGC7822,0.900,67.150,00h 03m 36.00s,"+67° 09' 00.00""",100.00,100.00,1.00,,,,,
3517694,h,NGC0206,NGC0206,10.135,40.738,00h 40m 32.30s,"+40° 44' 17.99""",4.20,4.20,1.00,,,,,
3517679,?,NGC6727,NGC6727,285.423,-36.877,19h 01m 41.40s,"-36° 52' 35.50""",79.98,79.98,1.00,,,,,
3517810,p,NGC6853,"2MASXJ19593637+2243157,DUMBBELL_NEBULA,MESSIER027,NGC6853",299.901,22.722,19h 59m 36.31s,"+22° 43' 17.51""",6.70,6.70,1.00,7.60,7.40,,,
3517825,p,NGC7293,NGC7293,337.410,-20.837,22h 29m 38.45s,"-20° 50' 12.50""",17.58,17.58,1.00,7.50,7.30,,,
3517829,c,NGC0129,NGC0129,7.500,60.218,00h 30m 00.00s,"+60° 13' 05.99""",11.99,11.99,1.00,,6.50,,,
3517834,c,NGC0188,NGC0188,11.867,85.255,00h 47m 28.00s,"+85° 15' 18.00""",15.00,15.00,1.00,,8.10,,,
3517835,c,NGC0189,NGC0189,9.898,61.085,00h 39m 35.60s,"+61° 05' 06.00""",5.00,5.00,1.00,,8.80,,,
3440583,PG,SDSSJ101414.09+032754.6,SDSSJ101414.09+032754.6,153.559,3.465,10h 14m 14.07s,"+03° 27' 54.48""",3.05,1.56,1.95,13.05,,31.39,0.84,61.83
3517838,c,NGC0225,NGC0225,10.913,61.775,00h 43m 39.00s,"+61° 46' 30.00""",15.00,15.00,1.00,,7.00,,,
3517855,c,NGC0381,NGC0381,17.083,61.583,01h 08m 20.00s,"+61° 34' 59.99""",7.00,7.00,1.00,,9.30,,,
3517859,c,NGC0436,NGC0436,18.992,58.812,01h 15m 58.00s,"+58° 48' 42.01""",5.00,5.00,1.00,,8.80,,,
3517865,c,NGC0581,"MESSIER103,NGC0581",23.346,60.650,01h 33m 23.00s,"+60° 38' 60.00""",6.00,6.00,1.00,,7.40,,,
3517870,c,NGC0659,NGC0659,26.100,60.673,01h 44m 24.00s,"+60° 40' 23.99""",6.00,6.00,1.00,,7.90,,,
3517871,c,NGC0663,"2MASSJ01460907+6113585,NGC0663",26.538,61.233,01h 46m 09.02s,"+61° 13' 58.54""",15.00,15.00,1.00,,7.10,,,
3517872,c,NGC0743,NGC0743,29.654,60.155,01h 58m 36.98s,"+60° 09' 18.00""",7.00,7.00,1.00,,,,,
3517875,c,NGC0869,NGC0869,34.750,57.128,02h 19m 00.01s,"+57° 07' 41.99""",17.99,17.99,1.00,,5.30,,,
3517888,c,NGC1513,NGC1513,62.487,49.515,04h 09m 56.99s,"+49° 30' 54.00""",11.99,11.99,1.00,,8.40,,,
3517891,c,NGC1605,NGC1605,68.718,45.271,04h 34m 52.21s,"+45° 16' 17.00""",5.00,5.00,1.00,,10.70,,,
3517894,c,NGC1641,NGC1641,68.896,-65.763,04h 35m 35.02s,"-65° 45' 48.02""",8.99,6.00,1.50,,,,,
3517896,c,NGC1647,NGC1647,71.475,19.115,04h 45m 54.00s,"+19° 06' 54.00""",39.99,39.99,1.00,,6.40,,,
3517897,c,NGC1649,"ESO055-031,ESO055-032,KMHK0022,KMHK0023,LW014,NGC1649,NGC1652,[SL63]010",69.572,-68.708,04h 38m 17.32s,"-68° 42' 27.43""",15.00,15.00,1.00,,,,,
3517899,c,NGC1662,NGC1662,72.112,10.937,04h 48m 27.00s,"+10° 56' 12.01""",11.99,11.99,1.00,,6.40,,,
3517901,c,NGC1664,NGC1664,72.772,43.676,04h 51m 05.40s,"+43° 40' 34.00""",17.99,17.99,1.00,,7.60,,,
3517911,c,NGC1708,NGC1708,75.862,52.833,05h 03m 27.00s,"+52° 49' 59.99""",20.00,20.00,1.00,,,,,
3517919,n,NGC1731,"DEML012w,ESO085-012,LH004,LHA120-N004D,NGC1731",73.348,-66.926,04h 53m 23.56s,"-66° 55' 32.00""",8.00,8.00,1.00,,,,,
3517925,c,NGC1750,NGC1750,75.975,23.658,05h 03m 54.00s,"+23° 39' 29.99""",25.00,11.99,2.08,,,,,
3517929,c,NGC1758,NGC1758,76.150,23.798,05h 04m 36.01s,"+23° 47' 53.99""",39.99,39.99,1.00,,,,,
3517952,c,NGC1807,NGC1807,77.679,16.522,05h 10m 43.00s,"+16° 31' 18.01""",11.99,11.99,1.00,,7.00,,,
3517985,c,NGC1857,NGC1857,80.021,39.325,05h 20m 04.99s,"+39° 19' 30.00""",10.00,10.00,1.00,,7.00,,,
3518020,c,NGC1912,"MESSIER038,NGC1912",82.167,35.848,05h 28m 40.01s,"+35° 50' 53.99""",15.00,15.00,1.00,,6.40,,,
3518022,c,NGC1914,"ESO056-095,KMHK0732,LH040,NGC1914,[SL63]365",79.410,-71.253,05h 17m 38.41s,"-71° 15' 11.53""",2.20,2.20,1.00,,,,,
3518053,c,NGC1977,NGC1977,83.825,-4.821,05h 35m 17.99s,"-04° 49' 14.99""",20.00,20.00,1.00,,,,,
3518054,c,NGC1981,NGC1981,83.787,-4.432,05h 35m 08.99s,"-04° 25' 54.01""",27.99,27.99,1.00,,4.20,,,
3518072,c,NGC2015,"ESO056-147,LH074,NGC2015",83.010,-69.242,05h 32m 02.50s,"-69° 14' 32.23""",5.60,5.60,1.00,,,,,
3518134,c,NGC2129,NGC2129,90.277,23.318,06h 01m 06.49s,"+23° 19' 04.01""",6.00,6.00,1.00,,6.70,,,
3518160,c,NGC2175S,NGC2175S,92.725,20.600,06h 10m 54.01s,"+20° 36' 00.00""",5.00,5.00,1.00,,,,,
3518188,c,NGC2259,NGC2259,99.589,10.874,06h 38m 21.41s,"+10° 52' 26.00""",3.50,3.50,1.00,,10.80,,,
3518212,c,NGC2354,NGC2354,108.542,-25.690,07h 14m 10.00s,"-25° 41' 24.00""",17.99,17.99,1.00,,6.50,,,
3518214,c,NGC2358,NGC2358,109.235,-17.117,07h 16m 56.32s,"-17° 07' 00.01""",8.00,8.00,1.00,,,,,
3518221,c,NGC2384,NGC2384,111.292,-21.022,07h 25m 09.98s,"-21° 01' 18.01""",5.00,5.00,1.00,,7.40,,,
3518236,c,NGC2455,NGC2455,117.275,-21.302,07h 49m 05.99s,"-21° 18' 06.01""",15.00,15.00,1.00,,10.20,,,
3518239,c,NGC2477,NGC2477,118.042,-38.530,07h 52m 09.98s,"-38° 31' 48.00""",20.00,20.00,1.00,,5.80,,,
3518248,c,NGC2539,NGC2539,122.654,-12.821,08h 10m 36.91s,"-12° 49' 14.02""",15.00,15.00,1.00,,6.50,,,
3518250,c,NGC2547,NGC2547,122.538,-49.215,08h 10m 09.01s,"-49° 12' 54.00""",25.00,25.00,1.00,,4.70,,,
3518252,c,NGC2567,NGC2567,124.633,-30.640,08h 18m 32.00s,"-30° 38' 24.00""",10.99,10.99,1.00,,7.40,,,
3518258,c,NGC2627,NGC2627,129.312,-29.955,08h 37m 14.99s,"-29° 57' 18.00""",8.99,8.99,1.00,,8.40,,,
3518263,c,NGC2659,NGC2659,130.650,-44.983,08h 42m 36.00s,"-44° 58' 59.99""",15.00,15.00,1.00,,8.60,,,
3518267,c,NGC2670,NGC2670,131.375,-48.800,08h 45m 29.99s,"-48° 47' 60.00""",7.00,7.00,1.00,,7.80,,,
3518276,c,NGC2982,NGC2982,145.525,-44.020,09h 42m 06.01s,"-44° 01' 12.00""",11.99,11.99,1.00,,,,,
3518277,c,NGC3033,NGC3033,147.154,-56.422,09h 48m 37.01s,"-56° 25' 18.01""",11.99,11.99,1.00,,8.80,,,
3518280,c,NGC3114,NGC3114,150.650,-60.117,10h 02m 35.99s,"-60° 06' 59.98""",34.99,34.99,1.00,,4.20,,,
3518281,c,NGC3228,NGC3228,155.342,-51.728,10h 21m 22.00s,"-51° 43' 41.99""",5.00,5.00,1.00,,6.00,,,
3518285,c,NGC3293,NGC3293,158.963,-58.230,10h 35m 51.00s,"-58° 13' 48.00""",5.00,5.00,1.00,,4.70,,,
3518286,c,NGC3330,NGC3330,159.692,-54.128,10h 38m 46.00s,"-54° 07' 41.99""",6.00,6.00,1.00,,7.40,,,
3518287,c,NGC3446,NGC3446,163.050,-45.148,10h 52m 12.00s,"-45° 08' 53.99""",6.50,6.50,1.00,,,,,
3518291,c,NGC3572,NGC3572,167.596,-60.248,11h 10m 23.02s,"-60° 14' 53.99""",7.00,7.00,1.00,,6.60,,,
3518293,c,NGC3680,NGC3680,171.408,-43.243,11h 25m 37.99s,"-43° 14' 35.99""",7.00,7.00,1.00,,7.60,,,
3518295,c,NGC3909,NGC3909,177.525,-48.247,11h 50m 06.00s,"-48° 14' 48.01""",20.00,20.00,1.00,,,,,
3518300,c,NGC4230,NGC4230,184.287,-55.283,12h 17m 08.99s,"-55° 16' 59.99""",7.00,5.00,1.40,,,,,
3518305,c,NGC4852,NGC4852,195.037,-59.613,13h 00m 09.00s,"-59° 36' 47.99""",11.99,11.99,1.00,,8.90,,,
3518312,c,NGC5284,NGC5284,206.850,-59.133,13h 47m 24.00s,"-59° 08' 00.02""",29.99,20.00,1.50,10.00,,,,
3518316,c,NGC5381,NGC5381,210.175,-59.583,14h 00m 42.01s,"-59° 34' 59.99""",10.99,10.99,1.00,,,,,
3518320,c,NGC5662,NGC5662,218.900,-56.617,14h 35m 35.99s,"-56° 36' 59.98""",29.99,29.99,1.00,,5.50,,,
3518349,c,NGC6281,NGC6281,256.167,-37.985,17h 04m 40.01s,"-37° 59' 06.00""",8.00,8.00,1.00,,5.40,,,
3518354,c,NGC6405,"MESSIER006,NGC6405",265.083,-32.250,17h 40m 19.99s,"-32° 15' 00.00""",33.04,33.04,1.00,,4.20,,,
3518356,c,NGC6425,"2MASSJ17470011-3131493,NGC6425",266.750,-31.530,17h 47m 00.08s,"-31° 31' 48.91""",10.00,10.00,1.00,,7.20,,,
3518364,c,NGC6525,NGC6525,270.525,11.025,18h 02m 06.00s,"+11° 01' 31.01""",4.00,4.00,1.00,,,,,
3518368,c,NGC6568,NGC6568,273.183,-21.605,18h 12m 43.99s,"-21° 36' 18.00""",11.99,11.99,1.00,,8.60,,,
3518369,c,NGC6583,NGC6583,273.953,-22.137,18h 15m 48.82s,"-22° 08' 15.00""",5.00,5.00,1.00,,10.00,,,
3518371,c,NGC6603,"MESSIER024,NGC6603",274.600,-18.407,18h 18m 24.01s,"-18° 24' 24.01""",4.00,4.00,1.00,,11.10,,,
3518373,c,NGC6605,"2MASSJ18162389-1500000,NGC6605",274.099,-15.000,18h 16m 23.86s,"-14° 59' 59.59""",28.97,28.97,1.00,,6.00,,,
3518377,c,NGC6631,NGC6631,276.800,-12.033,18h 27m 11.99s,"-12° 01' 59.99""",7.00,7.00,1.00,,11.70,,,
3518384,c,NGC6683,NGC6683,280.554,-6.212,18h 42m 13.00s,"-06° 12' 42.01""",3.00,3.00,1.00,,9.40,,,
3518385,c,NGC6694,"MESSIER026,NGC6694",281.325,-9.381,18h 45m 18.00s,"-09° 22' 50.02""",10.00,10.00,1.00,,8.00,,,
3518386,c,NGC6704,NGC6704,282.687,-5.208,18h 50m 44.99s,"-05° 12' 29.99""",6.00,6.00,1.00,,9.20,,,
3518387,c,NGC6705,"MESSIER011,NGC6705",282.771,-6.270,18h 51m 05.00s,"-06° 16' 12.00""",10.99,10.99,1.00,,5.80,,,
3518396,c,NGC6802,NGC6802,292.650,20.262,19h 30m 36.00s,"+20° 15' 42.01""",5.00,5.00,1.00,,8.80,,,
3518409,c,NGC6940,NGC6940,308.611,28.274,20h 34m 26.58s,"+28° 16' 27.98""",25.00,25.00,1.00,,6.30,,,
3518413,c,NGC6996,NGC6996,314.125,45.462,20h 56m 30.01s,"+45° 27' 42.01""",5.00,5.00,1.00,,10.00,,,
3518414,c,NGC6997,"2MASSJ20563904+4437376,NGC6997",314.163,44.627,20h 56m 39.08s,"+44° 37' 37.23""",8.00,8.00,1.00,,10.00,,,
3518415,c,NGC7031,NGC7031,316.802,50.870,21h 07m 12.50s,"+50° 52' 12.00""",15.00,15.00,1.00,,9.10,,,
3518420,c,NGC7067,NGC7067,321.100,48.002,21h 24m 24.01s,"+48° 00' 06.01""",3.00,3.00,1.00,,9.70,,,
3518426,c,NGC7129,NGC7129,325.745,66.113,21h 42m 58.90s,"+66° 06' 46.99""",7.00,7.00,1.00,11.50,,,,
3518434,c,NGC7261,NGC7261,335.000,58.050,22h 19m 59.99s,"+58° 02' 60.00""",6.00,6.00,1.00,,8.40,,,
3518443,c,NGC7762,NGC7762,357.525,68.038,23h 50m 06.00s,"+68° 02' 17.99""",15.00,15.00,1.00,,10.00,,,
3518444,c,NGC7772,NGC7772,357.938,16.248,23h 51m 45.00s,"+16° 14' 53.99""",5.00,5.00,1.00,,,,,
3518516,c,IC1805,IC1805,38.200,61.462,02h 32m 48.01s,"+61° 27' 42.01""",20.00,20.00,1.00,,6.50,,,
3518517,c,IC1848,IC1848,42.825,60.408,02h 51m 18.00s,"+60° 24' 29.99""",17.99,17.99,1.00,,6.50,,,
3518519,c,IC2157,IC2157,91.200,24.065,06h 04m 48.00s,"+24° 03' 54.00""",5.00,5.00,1.00,,8.40,,,
3518520,c,IC2395,IC2395,130.625,-48.137,08h 42m 29.99s,"-48° 08' 12.01""",13.00,13.00,1.00,,4.60,,,
3518521,c,IC2488,IC2488,141.879,-56.982,09h 27m 31.00s,"-56° 58' 54.01""",17.99,17.99,1.00,,7.40,,,
3518522,c,IC2581,IC2581,156.859,-57.626,10h 27m 26.10s,"-57° 37' 32.02""",5.00,5.00,1.00,,4.30,,,
3518523,c,IC2714,IC2714,169.342,-62.722,11h 17m 21.98s,"-62° 43' 18.01""",15.00,15.00,1.00,,8.20,,,
3518524,c,IC4291,IC4291,204.235,-62.093,13h 36m 56.30s,"-62° 05' 35.02""",4.00,4.00,1.00,,9.70,,,
3518525,c,IC4651,IC4651,261.217,-49.943,17h 24m 51.98s,"-49° 56' 35.99""",10.00,10.00,1.00,,6.90,,,
3518526,c,IC4665,IC4665,266.500,5.650,17h 46m 00.01s,"+05° 39' 00.00""",69.98,69.98,1.00,,4.20,,,
3518528,c,IC4725,IC4725,277.950,-19.113,18h 31m 48.00s,"-19° 06' 47.99""",26.00,26.00,1.00,,4.60,,,
3518529,c,IC4756,IC4756,279.725,5.450,18h 38m 53.99s,"+05° 27' 00.00""",39.99,39.99,1.00,,4.60,,,
3518531,n,IC0059,IC0059,14.369,61.144,00h 57m 28.51s,"+61° 08' 37.00""",10.00,5.00,2.00,,,,,
3518532,n,IC0063,IC0063,14.871,60.911,00h 59m 29.00s,"+60° 54' 40.00""",10.00,3.00,3.33,,,,,
3518533,n,IC0155,IC0155,26.885,60.611,01h 47m 32.32s,"+60° 36' 38.99""",11.99,11.99,1.00,,,,,
3518535,n,IC0341,IC0341,55.000,22.000,03h 40m 00.01s,"+22° 00' 00.00""",134.90,134.90,1.00,,,,,
3453832,G,SDSSJ090315.48+064623.0,SDSSJ090315.48+064623.0,135.815,6.773,09h 03m 15.49s,"+06° 46' 22.87""",2.69,1.66,1.63,12.97,,41.24,0.01,5770.67
3518536,n,IC0349,IC0349,56.583,23.940,03h 46m 19.99s,"+23° 56' 22.99""",26.00,26.00,1.00,,,,,
3518537,n,IC0353,IC0353,58.251,25.800,03h 53m 00.31s,"+25° 48' 00.00""",179.89,29.99,6.00,,,,,
3518538,n,IC0354,IC0354,58.250,23.000,03h 52m 59.99s,"+23° 00' 00.00""",130.02,130.02,1.00,,,,,
3518539,n,IC0360,IC0360,62.250,26.100,04h 09m 00.00s,"+26° 06' 00.00""",179.89,100.00,1.80,,,,,
3518540,n,IC0405,IC0405,79.122,34.356,05h 16m 29.39s,"+34° 21' 22.00""",29.99,20.00,1.50,10.00,,,,
3518541,n,IC0417,IC0417,82.025,34.424,05h 28m 05.92s,"+34° 25' 26.00""",13.00,10.00,1.30,,,,,
3518543,n,IC0420,IC0420,83.039,-4.505,05h 32m 09.38s,"-04° 30' 16.99""",6.00,6.00,1.00,,,,,
