pgc,objtype,objname,alt_names,ra_deg,dec_deg,ra_readable,dec_readable,major_arcmin,minor_arcmin,axis_ratio_a_over_b,bt_mag,vt_mag,modbest,e_modbest,distance_mly
69183,G,NGC7309,"2MASXJ22342056-1021253,2MIG3060,6dFJ2234206-102125,HIPASSJ2234-10,IRAS22317-1036,MCG-02-57-016,NGC7309,PGC069183,PGC192810",338.586,-10.357,22h 34m 20.57s,"-10° 21' 25.18""",2.08,1.86,1.12,13.04,12.50,33.82,0.27,189.68
69293,G,PGC069293,"AGC620140,ARP003,DDO214,HIPASSJ2236-02,LOG472,MCG-01-57-016,PGC069293,[RC2]A2233-03",339.146,-2.907,22h 36m 35.01s,"-02° 54' 24.27""",2.38,1.97,1.21,13.38,12.89,32.02,0.64,82.61
69301,G,PGC069301,"2MASXJ22364180-6123407,6dFJ2236419-612341,ESO147-003:,ESOLV1470030,PGC069301",339.174,-61.395,22h 36m 41.83s,"-61° 23' 40.65""",2.26,0.39,5.75,15.26,,36.24,0.09,577.60
69398,G,ESO534-009,"2MASXJ22384142-2551025,6dFJ2238414-255102,AGC035563,DUKST534-002,ESO534-009,ESOLV5340090,IRAS22359-2606,MCG-04-53-026,PGC069398",339.673,-25.851,22h 38m 41.40s,"-25° 51' 02.44""",2.65,0.85,3.12,13.54,,33.41,0.33,156.90
69404,G,PGC069404,"6dFJ2238571-055112,AGC620157,HIPASSJ2238-05,MCG-01-57-018,PGC069404,PGC1039648,UGCA432",339.738,-5.853,22h 38m 57.06s,"-05° 51' 12.51""",2.74,0.88,3.11,13.95,,32.51,0.96,103.66
69412,G,NGC7341,"2MASXJ22390552-2240001,2MIG3069,6dFJ2239055-224000,ESO534-011,ESOLV5340110,MCG-04-53-027,NGC7341,PGC069412",339.773,-22.667,22h 39m 05.49s,"-22° 39' 59.83""",2.39,0.95,2.50,13.42,,34.01,0.25,207.03
69519,G,PGC069519,"PGC069519,TUCANA,TUCANA_DWARF",340.458,-64.421,22h 41m 49.92s,"-64° 25' 14.20""",2.77,1.18,2.36,15.70,15.15,24.82,0.03,3.00
69521,G,IC5240,"2MASXJ22415236-4446016,2MIG3078,6dFJ2241524-444602,ESO290-002,ESOLV2900020,HIPASSJ2241-44,IC5240,IRAS22388-4501,PGC069521",340.468,-44.767,22h 41m 52.38s,"-44° 46' 01.88""",3.20,2.23,1.44,12.70,11.66,31.86,0.68,76.92
69638,G,NGC7359,"2MASXJ22444799-2341172,6dFJ2244480-234117,ESO534-022,ESOLV5340220,LGG463:[G93]002,MCG-04-53-034,NGC7359,PGC069638,PGC798209",341.200,-23.688,22h 44m 47.98s,"-23° 41' 17.05""",2.18,0.50,4.35,13.44,12.45,33.33,0.34,151.16
69664,G,NGC7358,"2MASXJ22453648-6507188,ESO109-018,ESOLV1090180,LGG462:[G93]005,NGC7358,PGC069664",341.402,-65.122,22h 45m 36.48s,"-65° 07' 18.80""",2.13,0.69,3.10,13.71,12.75,33.27,0.35,147.31
69677,G,NGC7371,"2MASXJ22460372-1100038,2MIG3086,6dFJ2246037-110004,AGC620174,HIPASSJ2246-10,MCG-02-58-001,NGC7371,NPM1G-11.0516,PGC069677",341.516,-11.001,22h 46m 03.72s,"-11° 00' 04.07""",2.10,1.93,1.09,12.69,12.02,32.94,0.41,126.31
69733,G,NGC7377,"2MASXJ22474750-2218434,6dFJ2247475-221844,ESO534-026,ESOLV5340260,IRAS22451-2234,LGG463:[G93]004,MCG-04-53-038,NGC7377,PGC069733",341.948,-22.312,22h 47m 47.49s,"-22° 18' 43.53""",3.89,3.09,1.26,12.09,11.19,33.38,0.33,155.03
69874,G,NGC7393,"2MASXJ22513809-0533262,2MIG3091,6dFJ2251381-053326,AGC620189,ARP015,HIPASSJ2251-05,MCG-01-58-002,NGC7393,PGC069874,VV068",342.909,-5.557,22h 51m 38.09s,"-05° 33' 26.07""",2.04,0.60,3.39,13.34,,33.69,0.29,178.08
69967,G,NGC7400,"2MASXJ22542080-4520492,2MIG3103,6dFJ2254208-452049,AGC035754,ESO290-022,ESOLV2900220,HIPASSJ2254-45,IRAS22514-4536,NGC7400,PGC069967",343.587,-45.347,22h 54m 20.80s,"-45° 20' 48.59""",2.44,0.57,4.25,13.64,,32.92,0.28,125.38
69994,G,NGC7410,"2MASXJ22550094-3939409,6dFJ2255009-393941,DUKST346-001,ESO346-012,ESOLV3460120,IRAS22521-3955,IRAS22522-3955,MCG-07-47-002,NGC7410,PGC069994,PGC595541",343.754,-39.661,22h 55m 00.90s,"-39° 39' 40.40""",6.01,1.79,3.37,11.24,11.19,32.73,0.60,114.66
